sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,48,0,1,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.002558030138781864,4085.5223085515495,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.2,2,48,4,7,1,1,0,994.7428571428571,1.5,1,2,0,0.020833333333333332,0.002049283840239835,4087.6061333903776,1.0,1.2,1.0,1.0,0.950686713683597,0.5,135.98489078952747,135.98489078952747,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,48,4,10,2,0,0,994.7428571428571,1.5,2,4,0,0.041666666666666664,0.0047497791959476565,4076.5449044133984,1.0,1.2,1.0,0.85,0.9336492004244128,0.5,187.22461141713484,204.78247641894086,0.0,0.724,warmup,1.0,0.0,0,0.0
0.6,43,48,4,19,1,42,0,78.23820224719101,1.5,7,8,0,0.14583333333333334,0.018355693505006432,4020.8150794034937,1.0,1.2,1.0,0.7,0.912434990650896,0.5,181.42644393699817,203.3738725092834,0.0,0.742,accumulate,1.0,0.0,0,0.0
0.8,45,48,5,23,0,45,0,74.8731182795699,1.5,2,16,0,0.041666666666666664,0.003725170609697903,4080.7417011826774,1.0,1.2,1.0,0.85,0.9542361404883913,0.5,192.59082849954433,194.9745592180959,0.0,0.7899999999999999,accumulate,1.0,0.0,0,0.0
1.0,46,48,8,31,0,46,0,73.29684210526315,1.5,4,19,0,0.08333333333333333,0.006841261643667829,4067.9781923075366,1.0,1.2,1.0,0.85,0.9614023719800643,0.5,174.54259149704086,171.8557758208027,0.0,0.814,accumulate,1.0,0.0,0,0.0
1.2,46,48,8,39,1,45,0,73.29684210526315,1.5,6,25,0,0.125,0.009704312653087466,4056.2511353729537,1.0,1.2,1.0,0.85,0.9718602501343725,0.5,162.931279824363,155.59410898097605,0.0,0.85,accumulate,1.0,0.0,0,0.0
1.4000000000000001,45,48,10,46,1,44,0,74.8731182795699,1.5,6,30,0,0.125,0.012627353925466323,4044.27835832129,1.0,1.2,1.0,0.7,0.952185630565088,0.5,150.43567048825216,120.18402647512849,0.0,0.8799999999999999,accumulate,1.0,0.0,0,0.0
1.6,46,48,12,54,2,44,0,73.29684210526315,1.5,8,34,0,0.16666666666666666,0.013649464424542068,4040.0917937170757,1.0,1.2,1.0,0.7,0.9586124449874678,0.5,147.1413074740313,120.18402647512849,0.0,0.9039999999999999,accumulate,1.0,0.0,0,0.0
1.8,46,48,12,59,3,43,0,73.29684210526315,1.5,8,39,0,0.16666666666666666,0.013569858479096752,4040.4178596696197,1.0,1.2,1.0,0.7,0.9664684345417778,0.5,146.13843610148663,123.71076433435069,0.0,0.9339999999999999,accumulate,1.0,0.0,0,0.0
2.0,47,48,12,61,0,47,0,71.78556701030928,1.5,7,42,0,0.14583333333333334,0.014314386340144591,4037.3682735507678,1.0,1.2,1.0,0.85,0.9997889331641711,0.5,145.29477746316982,126.84298572185216,0.0,0.952,accumulate,1.0,0.0,0,0.0
2.2,47,48,13,65,3,44,0,71.78556701030928,1.5,10,42,0,0.20833333333333334,0.02086421949246342,4010.54015695887,1.0,1.2,1.0,0.85,0.9997889331641711,0.5,145.29477746316982,126.84298572185216,0.0,0.952,accumulate,1.0,0.0,0,0.0
2.4,48,48,13,70,3,45,0,70.33535353535353,1.5,13,44,0,0.2708333333333333,0.027695078829365838,3982.5609571149175,1.0,1.2,1.0,0.85,1.0029247445853728,0.5,145.8605776946575,126.84298572185216,0.0,0.964,accumulate,1.0,0.0,0,0.0
