sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,24,0,1,0,1,0,717.8556701030928,1.4249999999999998,0,1,0,0.0,0.0,2048.0,0.9996596359599452,1.397322859630286,1.222904716095268,1.008278000988316,1.0193418662322973,0.5,20.0,20.0,0.0,0.7,warmup,1.0,0.0,0,0.0
0.2,2,24,2,5,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.9995808656873097,1.3971935017390715,1.1581701850379311,1.008278000988316,1.0104331672049645,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,24,7,10,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.9988140232925417,1.3971935017390715,1.1581701850379311,1.008278000988316,1.0102780860307554,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.6,2,24,10,13,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.9977888575236523,1.3971935017390715,1.1581701850379311,1.008278000988316,1.0100706143774276,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.8,2,24,15,18,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.9937841745734071,1.3971935017390715,1.1581701850379311,1.008278000988316,1.0092585142670707,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.0,2,24,22,25,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.974332103442342,1.3971935017390715,1.1581701850379311,1.008278000988316,1.0052762192779625,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.2,2,24,26,29,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.9446363410138159,1.3971935017390715,1.1581701850379311,1.008278000988316,0.9990723423320694,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.4000000000000001,2,24,33,36,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.8256774323330272,1.3971935017390715,1.1581701850379313,1.008278000988316,0.9725369025610469,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.6,2,24,37,40,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.7240521163658844,1.3971935017390715,1.1581701850379313,1.008278000988316,0.9473227608762731,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.8,2,24,39,42,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.6743225676669728,1.3971935017390715,1.1581701850379311,1.008278000988316,0.933936922961826,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.0,2,24,44,47,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5794345524404576,1.3971935017390715,1.1581701850379313,1.008278000988316,0.9060348115386797,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.2,2,24,51,54,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5210438639578094,1.3971935017390715,1.1581701850379311,1.008278000988316,0.8869902862112425,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.4,2,24,55,58,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.50936856440121,1.3971935017390715,1.1581701850379313,1.008278000988316,0.8829791210677944,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.6,2,24,60,63,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5033464254621425,1.3971935017390715,1.1581701850379311,1.008278000988316,0.8808813279081741,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.8000000000000003,2,24,64,67,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5014598748961961,1.3971935017390715,1.1581701850379313,1.008278000988316,0.880220024232196,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
3.0,2,24,69,72,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5005161155183774,1.3971935017390715,1.1581701850379313,1.008278000988316,0.8798884555376891,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
3.2,2,24,72,75,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5002763893184617,1.3971935017390715,1.1581701850379313,1.008278000988316,0.8798041534615082,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
3.4,2,24,78,81,2,0,0,508.26277372262774,1.4249999999999998,2,1,0,0.08333333333333333,0.045764172753595456,1954.2749742006365,0.5000792181095512,1.3971935017390715,1.1581701850379313,1.008278000988316,0.8797347920418797,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
