sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,6,0,1,1,0,0,1435.7113402061857,1.4249999999999998,1,0,0,0.020833333333333332,0.10653541600588923,3659.6309360398777,1.0,1.4,0.9851851851851852,1.0,0.9754470319980117,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.2,2,9,0,3,1,1,0,1016.5255474452555,1.4249999999999998,1,2,0,0.020833333333333332,0.0011919173606227407,4091.1179064908893,1.0,1.296569044938387,0.9623931623931624,0.8031176011488775,0.9291086545936045,0.5,53.001310191414206,53.001310191414206,0.0,0.712,warmup,1.0,0.0,0,0.0
0.4,25,28,1,9,1,24,0,131.75402081362347,1.4249999999999998,2,6,0,0.041666666666666664,0.0016749688710948618,4089.1393275039954,1.0,1.3419727287717413,0.9111111111111111,0.7078652926466619,0.9155352139116716,0.5,70.53183489037937,68.52528437796303,0.0,0.736,accumulate,1.0,0.0,0,0.0
0.6,22,25,2,11,0,22,0,148.62753468516541,1.4249999999999998,2,7,0,0.041666666666666664,0.0016749688710948618,4089.1393275039954,1.0,1.349292907001962,0.9111111111111111,0.7145901414711008,0.9196975836122153,0.5,66.91150477167932,60.0,0.0,0.742,accumulate,1.0,0.0,0,0.0
0.8,21,23,4,15,0,21,0,155.25529542920847,1.4249999999999998,2,9,0,0.041666666666666664,0.0016749688710948618,4089.1393275039954,1.0,1.3677876726450446,0.9111111111111111,0.6763272499147661,0.9164672245954575,0.5,62.419163728751755,60.0,0.0,0.748,accumulate,1.0,0.0,0,0.0
1.0,24,27,5,18,0,24,0,134.16267715668837,1.9505853176576435,3,10,0,0.0625,0.003029687184298857,4083.590401293112,1.0,1.3492203084886496,0.9111111111111111,0.7049809354315607,0.9233382915784175,0.5,61.3801612484565,56.014569462899594,0.0,0.76,accumulate,1.0,0.0,0,0.0
1.2,27,30,5,22,0,27,0,119.72307278529044,2.0804430508048273,5,12,0,0.10416666666666667,0.00515763389913948,4074.8743315491247,1.0,1.3587743991088603,0.9111111111111111,0.6978839300487534,0.9268629975975885,0.5,58.013551043968086,50.724904705148006,0.0,0.7719999999999999,accumulate,1.0,0.0,0,0.0
1.4000000000000001,31,34,5,25,1,30,0,104.47966077508683,2.3232322365099733,6,14,0,0.125,0.021024328634771994,4009.884349911974,1.0,1.3547970019676912,0.9111111111111111,0.7129349811746065,0.9310896560972978,0.5,146.59807346089968,54.01496138697159,0.0,0.7779999999999999,accumulate,1.0,0.0,0,0.0
1.6,33,39,5,29,2,31,0,98.72907425363425,2.264181562725847,8,16,0,0.16666666666666666,0.023082311750699303,4001.4548510691357,1.0,1.1621290192904792,0.9111111111111111,0.456726522637503,0.8494578607072685,0.5,136.93460684823216,57.60051924097187,0.0,0.7959999999999999,accumulate,1.0,0.0,0,0.0
1.8,35,42,6,32,0,35,0,93.64223340497547,2.179805237483934,7,19,0,0.14583333333333334,0.022426356178179785,4004.1416450941756,1.0,1.1700371640525729,0.9111111111111111,0.45132848941471293,0.8538551720211411,0.5,124.2271651140885,59.200254633799744,0.0,0.814,accumulate,1.0,0.0,0,0.0
2.0,36,43,6,34,0,36,0,91.2222949356869,2.166108432752988,8,20,0,0.16666666666666666,0.023689124213492452,3998.969347221535,1.0,1.1716581187487345,0.9111111111111111,0.4511742005544891,0.8556172890109072,0.5,122.00412515902933,59.60012731689987,0.0,0.82,accumulate,1.0,0.0,0,0.0
2.2,38,45,6,35,0,38,0,86.42112151801918,2.2062498938451744,8,21,0,0.16666666666666666,0.023689124213492452,3998.969347221535,1.0,1.174393508146683,0.9111111111111111,0.44766647256824343,0.856574604180907,0.5,117.95312228712031,59.200254633799744,0.0,0.826,accumulate,1.0,0.0,0,0.0
2.4,36,43,7,36,0,36,0,91.40425262055588,2.090131478379639,8,21,0,0.16666666666666666,0.023689124213492452,3998.969347221535,1.0,1.174393508146683,0.9111111111111111,0.44766647256824343,0.856574604180907,0.5,117.95312228712031,59.200254633799744,0.0,0.826,accumulate,1.0,0.0,0,0.0
2.6,35,41,8,44,0,35,0,94.77133206140456,1.7368477816075227,11,25,0,0.22916666666666666,0.0269080448853678,3985.7846481495335,1.0,1.180508642602742,0.9111111111111111,0.4402630011896088,0.859944737020006,0.5,105.1355435229156,52.02913892579919,0.0,0.844,accumulate,1.0,0.0,0,0.0
2.8000000000000003,39,46,8,48,0,39,0,85.74022061059027,1.4967254300756445,11,29,0,0.22916666666666666,0.0269080448853678,3985.7846481495335,1.0,1.1861039310283867,0.9111111111111111,0.4339432766276214,0.8649354423987529,0.5,95.88382553436178,51.18121180436397,0.0,0.868,accumulate,1.0,0.0,0,0.0
3.0,41,48,8,51,2,39,0,82.0648202710666,1.4249999999999998,13,30,0,0.2708333333333333,0.02972065673917368,3974.2641899963446,1.0,1.1876176727211942,0.9111111111111111,0.4341461872915083,0.8681917720336079,0.5,94.60095993928319,51.40166086256159,0.0,0.8799999999999999,accumulate,1.0,0.0,0,0.0
3.2,36,42,10,53,0,36,0,93.02872411489646,1.4249999999999998,12,31,0,0.25,0.02815715893039028,3980.6682770211214,1.0,1.1521792650250737,0.9111111111111111,0.44917200306960003,0.8688376093321301,0.5,147.03458963258592,51.622109920759215,0.0,0.8859999999999999,accumulate,1.0,0.0,0,0.0
3.4,39,45,10,55,0,39,0,86.12492269635128,1.4249999999999998,10,35,0,0.20833333333333334,0.02602062857880627,3989.4195053412095,1.0,1.0969702246400599,0.9111111111111111,0.4657345818813996,0.8693929559410507,0.5,242.77198960614547,51.622109920759215,0.0,0.9039999999999999,accumulate,1.0,0.0,0,0.0
3.6,37,43,11,57,0,37,0,90.60767729342876,1.4249999999999998,10,36,0,0.20833333333333334,0.026004718969933727,3989.4846710991515,1.0,1.0903901787948156,0.9111111111111111,0.47737308972449727,0.8744464384715442,0.5,300.5544362919297,51.8256244232792,0.0,0.9159999999999999,accumulate,1.0,0.0,0,0.0
3.8000000000000003,38,44,12,60,0,38,0,88.30944831959417,1.4249999999999998,9,39,0,0.1875,0.025322998155187904,3992.2769995563503,1.0,1.0836676644329006,0.9111111111111111,0.4856335264169709,0.8784696964981944,0.5,381.36678444955436,56.000783848143996,0.0,0.9279999999999999,accumulate,1.0,0.0,0,0.0
4.0,38,44,13,62,0,38,0,88.30944831959417,1.4249999999999998,7,42,0,0.14583333333333334,0.02275864744933076,4002.780580047541,1.0,1.0714470741995958,0.9111111111111111,0.5010674754528495,0.886241498935401,0.5,452.6793427582806,56.699320765074,0.0,0.952,accumulate,1.0,0.0,0,0.0
4.2,40,46,13,65,1,39,0,84.04586602293301,1.4249999999999998,7,45,0,0.14583333333333334,0.006757867073788892,4068.3197764657607,1.0,1.0662167519719818,0.9111111111111111,0.5046596452632652,0.8891036929465457,0.5,485.1570713074788,57.397857682004,0.0,0.964,accumulate,1.0,0.0,0,0.0
4.4,39,44,16,74,1,38,0,86.12492269635128,1.4249999999999998,10,48,0,0.20833333333333334,0.010726485389633944,4052.0643158440594,1.0,1.0708028980662203,0.9111111111111111,0.5000032344268652,0.8941107868290338,0.5,457.93999597514465,56.699320765074,0.0,0.988,accumulate,1.0,0.0,0,0.0
4.6000000000000005,36,44,17,78,0,36,0,93.02872411489646,1.4249999999999998,10,51,0,0.20833333333333334,0.010726485389633944,4052.0643158440594,1.0,1.073692193104579,0.9111111111111111,0.49690867169745867,0.819985596882521,0.5,434.6636378355375,57.397857682004,0.0,0.7,stable,1.0,0.0,0,0.0
4.8,36,45,18,81,0,36,0,93.02872411489646,1.4249999999999998,10,53,0,0.20833333333333334,0.010726485389633944,4052.0643158440594,1.0,1.075586209119153,0.9111111111111111,0.4945512244103853,0.8196897716246434,0.5,419.4334431444344,56.000783848143996,0.0,0.7,stable,1.0,0.0,0,0.0
5.0,35,43,20,85,0,35,0,95.58270418668498,1.4249999999999998,10,55,0,0.20833333333333334,0.010726485389633944,4052.0643158440594,1.0,1.077235543885691,0.9111111111111111,0.49254311612632506,0.8194407394083982,0.5,405.9926394882121,56.000783848143996,0.0,0.7,stable,1.0,0.0,0,0.0
5.2,33,41,21,87,0,33,0,101.13580246913581,1.4249999999999998,11,55,0,0.22916666666666666,0.012030807647350317,4046.721811876453,0.9926829268292683,1.077235543885691,0.9111111111111111,0.49254311612632506,0.8182380325505738,0.5,405.9926394882121,56.000783848143996,0.0,0.7,stable,1.0,0.0,0,0.0
5.4,32,40,22,90,1,31,0,104.16155572176515,1.4249999999999998,11,57,0,0.22916666666666666,0.010606159609648613,4052.5571702388793,0.97,1.075288117170452,0.9111111111111111,0.4962346193568583,0.8150817207196267,0.5,421.80875438201844,56.000783848143996,0.0,0.7,stable,1.0,0.0,0,0.0
5.6000000000000005,32,40,22,91,1,31,0,104.16155572176515,1.4249999999999998,11,58,0,0.22916666666666666,0.010606159609648613,4052.5571702388793,0.97,1.0761037047737114,0.9111111111111111,0.4952278480938591,0.8149570282814435,0.5,415.07718057565086,54.424052223822294,0.0,0.7,stable,1.0,0.0,0,0.0
5.8,31,39,23,93,0,31,0,107.3739398612182,1.4249999999999998,11,59,0,0.22916666666666666,0.010606159609648613,4052.5571702388793,0.9461538461538461,1.0768769113924543,0.9111111111111111,0.49427329231141354,0.8107919258657235,0.5,408.91635455467764,52.84732059950059,0.0,0.7,stable,1.0,0.0,0,0.0
6.0,32,40,24,96,0,32,0,104.16155572176515,1.4249999999999998,9,63,0,0.1875,0.009109466284983991,4058.6876260967056,0.9400000000000001,1.0641534663823067,0.9111111111111111,0.496240675470228,0.8082934434992274,0.5,510.74784092484583,57.397857682004,0.0,0.7,stable,1.0,0.0,0,0.0
6.2,33,41,24,98,1,32,0,101.13580246913581,1.4249999999999998,10,64,0,0.20833333333333334,0.01091783818976888,4051.2805347747067,0.9487804878048781,1.0651005493875265,0.9111111111111111,0.49523870124055186,0.8096964508850273,0.5,503.201761405826,56.699320765074,0.0,0.7,stable,1.0,0.0,0,0.0
6.4,33,41,25,99,0,33,0,101.13580246913581,1.4249999999999998,8,66,0,0.16666666666666666,0.008742946632487203,4060.1888905933324,0.9341463414634147,1.0592063655407133,0.9111111111111111,0.5027067742063848,0.8080999671271816,0.5,550.2842974376424,58.27586021541564,0.0,0.7,stable,1.0,0.0,0,0.0
6.6000000000000005,33,42,25,107,0,33,0,101.13580246913581,1.4249999999999998,13,69,0,0.2708333333333333,0.030287160963103243,3971.943788695129,0.9428571428571428,1.0610544531947634,0.9111111111111111,0.5010287047620162,0.8094776894662621,0.5,528.5828148516936,57.397857682004,0.0,0.7,stable,1.0,0.0,0,0.0
6.8,35,44,25,110,0,35,0,95.58270418668498,1.4249999999999998,12,73,0,0.25,0.029024392927790577,3977.11608656777,0.9590909090909091,1.05703546241329,0.9111111111111111,0.49826407611675694,0.8109565417783415,0.5,567.4233316079642,56.000783848143996,0.0,0.7,stable,1.0,0.0,0,0.0
7.0,36,45,25,111,1,35,0,93.02872411489646,1.4249999999999998,11,75,0,0.22916666666666666,0.027408491335085716,3983.734819491489,0.9666666666666667,1.0464314196577222,0.9111111111111111,0.5040333305630545,0.811998393275692,0.5,652.078593576044,57.397857682004,0.0,0.7,stable,1.0,0.0,0,0.0
7.2,33,42,27,113,0,33,0,101.13580246913581,1.4249999999999998,10,76,0,0.20833333333333334,0.02604851699769606,3989.305274377437,0.9142857142857143,1.0464314196577222,0.9111111111111111,0.5040333305630545,0.8030012254477041,0.5,652.8066923861148,58.27586021541564,0.0,0.7,stable,1.0,0.0,0,0.0
7.4,33,42,28,115,0,33,0,101.13580246913581,1.4249999999999998,9,78,0,0.1875,0.024719805127108252,3994.7476781993646,0.9,1.0433246117147643,0.9111111111111111,0.506772462478919,0.800650763472813,0.5,676.8449705531834,58.27586021541564,0.0,0.7,stable,1.0,0.0,0,0.0
7.6000000000000005,32,41,30,122,0,32,0,104.16155572176515,1.4249999999999998,12,80,0,0.25,0.0284277569337974,3979.559907599166,0.8609756097560975,1.0452558321247616,0.9111111111111111,0.5054129879660656,0.7935575499970421,0.5,661.557889164146,58.27586021541564,0.0,0.7,stable,1.0,0.0,0,0.0
7.8,32,41,31,123,0,32,0,104.16155572176515,1.4249999999999998,12,80,0,0.25,0.0284277569337974,3979.559907599166,0.8463414634146341,1.0452558321247616,0.9111111111111111,0.5054129879660656,0.7908413736973254,0.5,661.557889164146,58.27586021541564,0.0,0.7,stable,1.0,0.0,0,0.0
