sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,18,0,1,0,1,0,1392.6399999999999,1.5,0,1,0,0.0,0.0,4096.0,0.9996351773870125,1.397322859630286,1.222904716095268,1.008278000988316,1.019336878156259,0.5,20.0,20.0,0.0,0.7,warmup,1.0,0.0,0,0.0
0.2,2,21,0,1,0,2,0,994.7428571428571,1.5,0,1,0,0.0,0.0,4096.0,0.9998718300644784,1.3968977809261518,1.1581701850379311,1.008278000988316,1.010449206580747,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,21,0,1,0,2,0,994.7428571428571,1.5,0,1,0,0.0,0.0,4096.0,0.9999992928839498,1.3968977809261518,1.1581701850379311,1.008278000988316,1.0104749675100937,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.6,2,20,0,4,0,2,0,994.7428571428571,1.5,0,4,0,0.0,0.0,4096.0,0.9999998470488864,1.3961348517218544,1.1581701850379311,0.7562377766067199,0.9738079893958204,0.5,55.49945986599377,58.834073501933815,0.0,0.724,warmup,1.0,0.0,0,0.0
0.8,2,20,0,5,1,1,0,994.7428571428571,1.5,1,4,0,0.020833333333333332,0.11296512637852074,3633.294842353579,0.9999998470488864,1.3961348517218544,1.1581701850379311,0.7562377766067199,0.9738079893958204,0.5,55.49945986599377,58.834073501933815,0.0,0.724,warmup,1.0,0.0,0,0.0
1.0,35,38,0,7,1,34,0,95.386301369863,1.5,2,5,0,0.041666666666666664,0.11350600075675021,3631.079420900351,0.9999998010057056,1.3961115815858456,0.9500000000000001,0.7988780301267405,0.9456523724375346,0.5,58.57114619277237,70.85789149988675,0.0,0.73,accumulate,1.0,0.0,0,0.0
1.2,38,40,1,10,1,37,0,88.14177215189873,1.5,3,6,0,0.0625,0.1139315776846257,3629.336257803773,0.9999997478262959,1.3961061062789053,0.9500000000000001,0.8272030043752125,0.9525541062805917,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.4000000000000001,38,40,1,11,1,37,0,88.14177215189873,1.5,4,6,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,0.9999997478262959,1.3961061062789053,0.9500000000000001,0.8272030043752125,0.9525541062805917,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.6,30,32,2,12,0,30,0,110.52698412698412,1.5,4,6,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,0.9999997142497765,1.3961061062789053,0.9500000000000001,0.8272030043752125,0.9525540998838997,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.8,34,36,2,13,0,34,0,98.07323943661972,1.5,4,7,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,0.9999997334201886,1.3960816411712746,0.9500000000000001,0.8504291110629651,0.9584590338830273,0.5,56.498891677525755,62.06996773688922,0.0,0.742,accumulate,1.0,0.0,0,0.0
2.0,42,48,3,19,1,41,0,77.36888888888889,3.0,5,11,0,0.10416666666666667,0.11559029832728662,3622.542138051434,0.9999997142497765,1.392513635977139,0.9500000000000001,0.5001360734746808,0.8917128128855584,0.5,121.962563365687,62.06996773688922,0.0,0.766,accumulate,1.0,0.0,0,0.0
2.2,42,48,4,22,0,42,0,77.36888888888889,3.0,5,13,0,0.10416666666666667,0.11559029832728662,3622.542138051434,0.9999996480633155,1.3933589962794501,0.9500000000000001,0.5000768292815527,0.8952775716929732,0.5,111.04366200839121,62.06996773688922,0.0,0.7779999999999999,accumulate,1.0,0.0,0,0.0
2.4,42,47,5,27,1,41,0,77.45344526247439,2.950873240067592,7,15,0,0.14583333333333334,0.11810750598158015,3612.2316554994477,0.9999994517599138,1.3939574723980204,0.9500000000000001,0.5000444789332107,0.8987784413012372,0.5,100.89775826955511,46.514982081856445,0.0,0.7899999999999999,accumulate,1.0,0.0,0,0.0
2.6,38,43,6,30,0,38,0,86.34370514930546,2.1489345039254775,6,18,0,0.125,0.11741134317896595,3615.0831383389555,0.999999382631396,1.3945257651848562,0.9500000000000001,0.5000251098527227,0.903923314805476,0.5,90.4685151846714,45.13704438181154,0.0,0.8079999999999999,accumulate,1.0,0.0,0,0.0
2.8000000000000003,41,46,6,33,0,41,0,80.72106455274813,1.943902477599788,7,20,0,0.14583333333333334,0.1326632360364043,3552.611385194888,0.9999994363320397,1.394785080865395,0.9500000000000001,0.5000190742623343,0.9072930405836036,0.5,85.04500563385457,43.75808102376166,0.0,0.82,accumulate,1.0,0.0,0,0.0
3.0,38,42,8,36,0,38,0,87.473725981335,1.6280313144564724,7,21,0,0.14583333333333334,0.1326632360364043,3552.611385194888,0.9999989725055898,1.394912530591463,0.9500000000000001,0.5000155689451443,0.9089637587417704,0.5,82.5970105041833,43.75705536575669,0.0,0.826,accumulate,1.0,0.0,0,0.0
3.2,38,42,8,37,0,38,0,87.85700133253648,1.6280313144564724,8,21,0,0.16666666666666666,0.13428477958283447,3545.96954282871,0.9999989725055898,1.394912530591463,0.9500000000000001,0.5000155689451443,0.9089637587417704,0.5,82.5970105041833,43.75705536575669,0.0,0.826,accumulate,1.0,0.0,0,0.0
3.4,41,45,8,38,0,41,0,81.7470486271769,1.589916803950994,6,24,0,0.125,0.13218159434652643,3554.5841895566277,0.9999990950364883,1.388150814081078,0.9500000000000001,0.5000026124570087,0.911357597809852,0.5,212.65364095076544,43.75808102376166,0.0,0.838,accumulate,1.0,0.0,0,0.0
3.6,38,42,10,41,0,38,0,88.37365458754702,1.3191315416478093,6,25,0,0.125,0.13218159434652643,3554.5841895566277,0.9999983458083674,1.3832253138317643,0.9500000000000001,0.5000204069988777,0.9139576110851195,0.5,205.45806854050218,43.75705536575669,0.0,0.85,accumulate,1.0,0.0,0,0.0
3.8000000000000003,38,42,10,41,0,38,0,88.37365458754702,1.3191315416478093,6,25,0,0.125,0.13218159434652643,3554.5841895566277,0.9999983458083674,1.3832253138317643,0.9500000000000001,0.5000204069988777,0.9139576110851195,0.5,205.45806854050218,43.75705536575669,0.0,0.85,accumulate,1.0,0.0,0,0.0
