sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,18,0,1,0,1,0,1435.7113402061857,1.4249999999999998,0,1,0,0.0,0.0,4096.0,1.0,1.4,0.9851851851851852,1.0,0.9754470319980117,0.5,20.0,20.0,0.0,0.7,warmup,1.0,0.0,0,0.0
0.2,2,21,0,1,0,2,0,1016.5255474452555,1.4249999999999998,0,1,0,0.0,0.0,4096.0,1.0,1.4,0.9623931623931624,1.0,0.9729651574254765,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,21,0,1,0,2,0,1016.5255474452555,1.4249999999999998,0,1,0,0.0,0.0,4096.0,1.0,1.4,0.9623931623931624,1.0,0.9729651574254765,0.5,20.0,20.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.6,2,20,0,4,0,2,0,1016.5255474452555,1.4249999999999998,0,4,0,0.0,0.0,4096.0,1.0,1.2865030948671328,0.9623931623931624,0.7363335152123716,0.9194931530273732,0.5,55.49945986599377,58.834073501933815,0.0,0.724,warmup,1.0,0.0,0,0.0
0.8,2,20,0,5,1,1,0,1016.5255474452555,1.4249999999999998,1,4,0,0.020833333333333332,0.11296512637852074,3633.294842353579,1.0,1.2865030948671328,0.9623931623931624,0.7363335152123716,0.9194931530273732,0.5,55.49945986599377,58.834073501933815,0.0,0.724,warmup,1.0,0.0,0,0.0
1.0,34,38,0,7,1,33,0,98.28087508821454,1.4249999999999998,2,5,0,0.041666666666666664,0.11350600075675021,3631.079420900351,1.0,1.2824622970857198,0.9111111111111111,0.7674096807315439,0.9164483547257214,0.5,58.57114619277237,70.85789149988675,0.0,0.73,accumulate,1.0,0.0,0,0.0
1.2,36,40,1,10,1,35,0,93.02872411489646,1.4249999999999998,3,6,0,0.0625,0.1139315776846257,3629.336257803773,1.0,1.281515004616901,0.9111111111111111,0.7884319763428481,0.9219197009176741,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.4000000000000001,36,40,1,11,1,35,0,93.02872411489646,1.4249999999999998,4,6,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,1.0,1.281515004616901,0.9111111111111111,0.7884319763428481,0.9219197009176741,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.6,29,32,2,12,0,29,0,114.43221035332785,1.4249999999999998,4,6,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,1.0,1.281515004616901,0.9111111111111111,0.7884319763428481,0.9219197009176741,0.5,55.570379000965175,58.686436790871596,0.0,0.736,accumulate,1.0,0.0,0,0.0
1.8,33,36,2,13,0,33,0,101.13580246913581,1.4249999999999998,4,7,0,0.08333333333333333,0.11487399391019815,3625.4761209438284,1.0,1.2772983030557803,0.9111111111111111,0.8062988928897108,0.9262924441140371,0.5,56.498891677525755,62.06996773688922,0.0,0.742,accumulate,1.0,0.0,0,0.0
2.0,40,48,3,19,1,39,0,81.00629366738181,2.8331581299816193,5,11,0,0.10416666666666667,0.11559029832728662,3622.542138051434,1.0,1.1639658695006603,0.9111111111111111,0.4919576887457548,0.8510374526646071,0.5,121.962563365687,62.06996773688922,0.0,0.766,accumulate,1.0,0.0,0,0.0
2.2,40,48,4,22,0,40,0,81.28282274761825,2.540721251683223,5,13,0,0.10416666666666667,0.11559029832728662,3622.542138051434,1.0,1.172097303776245,0.9111111111111111,0.48624051979857774,0.8540426771897229,0.5,111.04366200839121,62.06996773688922,0.0,0.7779999999999999,accumulate,1.0,0.0,0,0.0
2.4,40,47,5,27,1,39,0,82.4080800353944,2.248284373384833,7,15,0,0.14583333333333334,0.11810750598158015,3612.2316554994477,1.0,1.1784947042558378,0.9111111111111111,0.48077422982930224,0.8567966220275597,0.5,100.89775826955511,46.514982081856445,0.0,0.7899999999999999,accumulate,1.0,0.0,0,0.0
2.6,37,43,6,30,0,37,0,90.02452250547758,1.6739068767419512,6,18,0,0.125,0.11741134317896595,3615.0831383389555,1.0,1.185175462866488,0.9111111111111111,0.475056324059809,0.8610639452158757,0.5,90.4685151846714,45.13704438181154,0.0,0.8079999999999999,accumulate,1.0,0.0,0,0.0
2.8000000000000003,39,46,6,33,0,39,0,85.70762071583576,1.4792623731978876,7,20,0,0.14583333333333334,0.1326632360364043,3552.611385194888,1.0,1.1884545290483857,0.9111111111111111,0.4723070102843265,0.8639684918598443,0.5,85.04500563385457,43.75808102376166,0.0,0.82,accumulate,1.0,0.0,0,0.0
3.0,36,42,7,36,0,36,0,93.02872411489646,1.4249999999999998,7,22,0,0.14583333333333334,0.1326632360364043,3552.611385194888,1.0,1.1891105422814938,0.9111111111111111,0.4760563307288454,0.8682370167721045,0.5,84.28902638924734,43.75808102376166,0.0,0.832,accumulate,1.0,0.0,0,0.0
3.2,36,42,7,37,0,36,0,93.02872411489646,1.4249999999999998,8,22,0,0.16666666666666666,0.13428477958283447,3545.96954282871,1.0,1.1891105422814938,0.9111111111111111,0.4760563307288454,0.8682370167721045,0.5,84.28902638924734,43.75808102376166,0.0,0.832,accumulate,1.0,0.0,0,0.0
3.4,38,45,7,38,0,38,0,88.30944831959417,1.4249999999999998,6,25,0,0.125,0.13218159434652643,3554.5841895566277,1.0,1.1340750561829493,0.9111111111111111,0.4533568018881306,0.8568292036479456,0.5,208.94034971175853,43.75910668176664,0.0,0.844,accumulate,1.0,0.0,0,0.0
3.6,36,42,9,41,0,36,0,93.02872411489646,1.4249999999999998,6,26,0,0.125,0.13218159434652643,3554.5841895566277,1.0,1.1108608286757669,0.9111111111111111,0.4730478668003537,0.8617879229059878,0.5,202.16434898031335,43.75808102376166,0.0,0.856,accumulate,1.0,0.0,0,0.0
3.8000000000000003,36,42,9,41,0,36,0,93.02872411489646,1.4249999999999998,6,26,0,0.125,0.13218159434652643,3554.5841895566277,1.0,1.1108608286757669,0.9111111111111111,0.4730478668003537,0.8617879229059878,0.5,202.16434898031335,43.75808102376166,0.0,0.856,accumulate,1.0,0.0,0,0.0
4.0,36,42,9,41,0,36,0,93.02872411489646,1.4249999999999998,6,26,0,0.125,0.13218159434652643,3554.5841895566277,1.0,1.1108608286757669,0.9111111111111111,0.4730478668003537,0.8617879229059878,0.5,202.16434898031335,43.75808102376166,0.0,0.856,accumulate,1.0,0.0,0,0.0
4.2,34,40,10,43,0,34,0,98.28087508821454,1.4249999999999998,5,28,0,0.10416666666666667,0.13123917812095398,3558.4443264165725,1.0,1.091461466325393,0.9111111111111111,0.4791982164450412,0.8634220995601176,0.5,286.90124885777516,45.13704438181154,0.0,0.868,accumulate,1.0,0.0,0,0.0
4.4,34,40,10,44,0,34,0,98.28087508821454,1.4249999999999998,6,28,0,0.125,0.13240914920129665,3553.652124871489,1.0,1.091461466325393,0.9111111111111111,0.4791982164450412,0.8634220995601176,0.5,286.90124885777516,45.13704438181154,0.0,0.868,accumulate,1.0,0.0,0,0.0
4.6000000000000005,35,41,10,45,0,35,0,95.58270418668498,1.4249999999999998,6,29,0,0.125,0.13240914920129665,3553.652124871489,1.0,1.0924168070761957,0.9111111111111111,0.4775729543686118,0.8646209611742135,0.5,279.5658643804292,46.514982081856445,0.0,0.8739999999999999,accumulate,1.0,0.0,0,0.0
