sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,48,0,1,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.001638253402108214,4089.2897140649648,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.2,2,48,0,2,1,1,0,994.7428571428571,1.5,1,1,0,0.020833333333333332,0.11267730626602146,3634.473753534376,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,22,1,4,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.6,2,48,6,9,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.8,2,42,11,14,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.0,2,45,12,15,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.2,2,45,12,15,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.4000000000000001,2,48,13,16,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.6,2,48,16,19,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.8,2,44,19,22,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.0,2,48,21,24,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.2,2,48,25,28,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.4,2,48,26,29,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.6,2,48,28,31,2,0,0,994.7428571428571,1.5,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,1.0,1.4,1.0,1.0,0.9804530060531607,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
2.8000000000000003,2,44,26,32,1,1,0,994.7428571428571,1.5,1,5,0,0.020833333333333332,0.0012493801742372579,4090.882538806324,1.0,1.1,1.0,0.55,0.8595429488764336,0.5,1987.353071514739,2487.1071570250197,0.0,0.724,accumulate,1.0,0.0,0,0.0
3.0,36,41,6,35,0,36,0,92.84266666666666,1.5,12,17,0,0.25,0.03307233185119496,3960.5357287375055,1.0,1.1,1.0,0.55,0.881813072012005,0.5,1569.326932307004,2061.778310143414,0.0,0.8019999999999999,accumulate,1.0,0.0,0,0.0
3.2,38,44,6,37,0,38,0,88.14177215189873,1.5,12,19,0,0.25,0.033650853219665766,3958.166105212249,1.0,1.1,1.0,0.55,0.885093276460685,0.5,1524.5464241977925,2061.778310143414,0.0,0.814,accumulate,1.0,0.0,0,0.0
3.4,38,43,7,41,0,38,0,88.14177215189873,1.5,13,21,0,0.2708333333333333,0.03530271762679882,3951.400068600632,1.0,1.1,1.0,0.55,0.8883374112657609,0.5,1384.7988243258037,1448.4524516645108,0.0,0.826,accumulate,1.0,0.0,0,0.0
3.6,41,46,7,43,0,41,0,81.92,1.5,13,23,0,0.2708333333333333,0.03629562050472723,3947.3331384126373,1.0,1.1,1.0,0.55,0.8915463885384977,0.5,1333.7168616356676,1448.4524516645108,0.0,0.838,accumulate,1.0,0.0,0,0.0
3.8000000000000003,41,47,7,45,0,41,0,81.92,1.5,14,24,0,0.2916666666666667,0.03818319777821144,3939.601621900446,1.0,1.1,1.0,0.55,0.8931379683128972,0.5,1279.1114259992044,1398.228099270184,0.0,0.844,accumulate,1.0,0.0,0,0.0
4.0,42,48,7,47,1,41,0,80.0367816091954,1.5,15,25,0,0.3125,0.03847490834878253,3938.4067754033867,1.0,1.1,1.0,0.55,0.8947210846606581,0.5,1230.5080945902137,1348.0037468758571,0.0,0.85,accumulate,1.0,0.0,0,0.0
4.2,43,48,8,52,0,43,0,78.23820224719101,1.5,16,28,0,0.3333333333333333,0.03938299398411049,3934.6872566410834,1.0,1.1,1.0,0.55,0.8978623421662926,0.5,1103.2042789556222,908.1293681969772,0.0,0.862,accumulate,1.0,0.0,0,0.0
4.4,42,47,9,54,0,42,0,80.0367816091954,1.5,16,29,0,0.3333333333333333,0.039946392207739656,3932.3795775170984,1.0,1.1,1.0,0.55,0.9009709714997247,0.5,1161.6763238542635,987.6495624589999,0.0,0.8739999999999999,accumulate,1.0,0.0,0,0.0
4.6000000000000005,40,45,10,56,0,40,0,83.89397590361446,1.5,16,30,0,0.3333333333333333,0.039946392207739656,3932.3795775170984,1.0,1.1,1.0,0.55,0.9009709714997247,0.5,1123.9882508518567,908.1293681969772,0.0,0.8739999999999999,accumulate,1.0,0.0,0,0.0
4.8,43,48,10,59,0,43,0,78.23820224719101,1.5,15,34,0,0.3125,0.038938852423886394,3936.5064604717613,1.0,1.1,1.0,0.55,0.9070934367368679,0.5,1089.2904437883221,808.3384049286183,0.0,0.8979999999999999,accumulate,1.0,0.0,0,0.0
5.0,41,46,11,60,0,41,0,81.92,1.5,15,34,0,0.3125,0.038938852423886394,3936.5064604717613,1.0,1.1,1.0,0.55,0.9086048445380636,0.5,1089.2904437883221,808.3384049286183,0.0,0.9039999999999999,accumulate,1.0,0.0,0,0.0
5.2,43,48,12,63,1,42,0,78.23820224719101,1.5,14,37,0,0.2916666666666667,0.03698786807413479,3944.497692368344,1.0,1.1,1.0,0.55,0.911605231579048,0.5,1167.6868311619626,828.6091739349546,0.0,0.9159999999999999,accumulate,1.0,0.0,0,0.0
5.4,43,48,12,63,1,42,0,78.23820224719101,1.5,13,38,0,0.2708333333333333,0.03619162369926954,3947.759109327792,1.0,1.1,1.0,0.55,0.9145762820376158,0.5,1235.1784002898635,908.1293681969772,0.0,0.9279999999999999,accumulate,1.0,0.0,0,0.0
5.6000000000000005,44,48,14,66,0,44,0,76.51868131868132,1.5,11,41,0,0.22916666666666666,0.03369431566732062,3957.9880830266547,1.0,1.1,1.0,0.55,0.9189792905604478,0.5,1230.904738432797,956.9403958915173,0.0,0.946,accumulate,1.0,0.0,0,0.0
5.8,44,48,14,66,0,44,0,76.51868131868132,1.5,11,41,0,0.22916666666666666,0.03369431566732062,3957.9880830266547,1.0,1.1,1.0,0.55,0.9189792905604478,0.5,1230.904738432797,956.9403958915173,0.0,0.946,accumulate,1.0,0.0,0,0.0
6.0,44,48,14,66,0,44,0,76.51868131868132,1.5,10,42,0,0.20833333333333334,0.03331315116851974,3959.549332813743,1.0,1.1,1.0,0.55,0.920432992900665,0.5,1299.4987435364067,972.2949791752585,0.0,0.952,accumulate,1.0,0.0,0,0.0
6.2,44,48,14,69,1,43,0,76.51868131868132,1.5,11,44,0,0.22916666666666666,0.03489539708769929,3953.0684535287837,1.0,1.1,1.0,0.55,0.9233199065239777,0.5,1241.9179362461691,892.7747849132359,0.0,0.964,accumulate,1.0,0.0,0,0.0
6.4,44,48,15,71,2,42,0,76.51868131868132,1.5,10,46,0,0.20833333333333334,0.0328249497355676,3961.549005883115,1.0,1.1,1.0,0.55,0.9261799921109688,0.5,1376.1653690635135,972.2949791752585,0.0,0.976,accumulate,1.0,0.0,0,0.0
6.6000000000000005,38,45,16,76,0,38,0,88.14177215189873,1.5,9,51,0,0.1875,0.047123553193109236,3902.9819261210246,1.0,1.1,1.0,0.55,0.8523293633630441,0.5,1416.4996475927157,969.7315177289561,0.0,0.7,stable,1.0,0.0,0,0.0
