sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,48,0,1,1,0,0,1435.7113402061857,1.4249999999999998,1,0,0,0.020833333333333332,0.001638253402108214,4089.2897140649648,0.9996932857821961,1.397322859630286,1.2229047160952677,1.008278000988316,1.0193487286101597,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.2,2,48,0,2,1,1,0,1016.5255474452555,1.4249999999999998,1,1,0,0.020833333333333332,0.11267730626602146,3634.473753534376,0.9997236106815381,1.3966450622164306,1.1581701850379311,1.008278000988316,1.0103826848396669,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.4,2,22,1,4,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9996531327543248,1.3966450622164306,1.1581701850379311,1.008278000988316,1.01036843856506,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.6,2,48,6,9,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9994838844816226,1.3966450622164306,1.1581701850379311,1.008278000988316,1.0103342237580628,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
0.8,2,42,11,14,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9989776691645953,1.3966450622164306,1.1581701850379313,1.008278000988316,1.0102318608659435,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.0,2,45,12,15,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9989530874421706,1.3966450622164306,1.1581701850379313,1.008278000988316,1.0102268890864161,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.2,2,45,12,15,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9989530874421706,1.3966450622164306,1.1581701850379313,1.008278000988316,1.0102268890864161,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.4000000000000001,2,48,13,16,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9989310950994963,1.3966450622164306,1.1581701850379313,1.008278000988316,1.01022244093928,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.6,2,48,16,19,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.998540125103804,1.3966450622164306,1.1581701850379313,1.008278000988316,1.0101433506969228,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
1.8,2,44,19,22,2,0,0,1016.5255474452555,1.4249999999999998,2,1,0,0.041666666666666664,0.11318201821803686,3632.406453378921,0.9976156681520918,1.3966450622164306,1.1581701850379311,1.008278000988316,1.009956241529826,0.5,40.0,40.0,0.0,0.706,warmup,1.0,0.0,0,0.0
