sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
0.0,1,6,0,1,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.2,1,46,7,8,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.4,1,23,12,13,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.6,1,24,18,19,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,1.0,1.4,1.0,1.0,0.9783632186716251,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
0.8,1,23,23,24,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
1.0,1,25,25,26,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
1.2,1,28,28,29,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
1.4000000000000001,1,25,30,31,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
1.6,1,25,34,35,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
1.8,1,25,34,35,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
2.0,1,27,36,37,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
2.2,1,27,36,37,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
2.4,1,29,39,40,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
2.6,1,33,44,45,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
2.8000000000000003,1,32,47,48,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
3.0,1,30,53,54,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
3.2,1,34,61,62,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.85,1.4,1.0,1.0,0.9470739742296236,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
3.4,1,32,66,67,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.7,1.4,1.0,1.0,0.9110028279979959,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
3.6,1,31,71,72,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.7,1.4,1.0,1.0,0.9110028279979959,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
3.8000000000000003,1,29,75,76,1,0,0,1392.6399999999999,1.5,1,0,0,0.020833333333333332,0.09842832895177966,3692.8375646135105,0.7,1.4,1.0,1.0,0.9110028279979959,0.5,0.0,0.0,0.0,0.7,bootstrap,1.0,0.0,0,0.0
4.0,2,34,77,82,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.7,1.0,1.0,0.55,0.7836192975843164,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
4.2,2,33,79,84,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.7,1.0,1.0,0.55,0.7836192975843164,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
4.4,2,31,84,89,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.7,1.0,1.0,0.55,0.7836192975843164,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
4.6000000000000005,2,31,91,96,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.7,1.0,1.0,0.55,0.7836192975843164,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
4.8,2,31,91,96,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.7,1.0,1.0,0.55,0.7836192975843164,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
5.0,2,29,94,99,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
5.2,2,31,98,103,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
5.4,2,29,104,109,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
5.6000000000000005,2,29,108,113,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
5.8,2,30,114,119,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
6.0,2,30,114,119,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
6.2,2,30,119,124,2,0,0,994.7428571428571,1.5,2,3,0,0.041666666666666664,0.0942185238056713,3710.0809264919703,0.5,1.0,1.0,0.55,0.7326212566450802,0.5,3933.132092591774,3920.0,0.0,0.718,warmup,1.0,0.0,0,0.0
